;SLOT_START;CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AT_DEMAND_[MW];AT_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AT_IMPORT(-)_EXPORT(+)_[MW];BE_DEMAND_[MW];BE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];BE_IMPORT(-)_EXPORT(+)_[MW];CH_DEMAND_[MW];CH_SETTLEMENTCAPACITY_PRICE_[EUR/MW];CH_IMPORT(-)_EXPORT(+)_[MW];DE_DEMAND_[MW];DE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DE_IMPORT(-)_EXPORT(+)_[MW];FR_DEMAND_[MW];FR_SETTLEMENTCAPACITY_PRICE_[EUR/MW];FR_IMPORT(-)_EXPORT(+)_[MW];NL_DEMAND_[MW];NL_SETTLEMENTCAPACITY_PRICE_[EUR/MW];NL_IMPORT(-)_EXPORT(+)_[MW];SI_DEMAND_[MW];SI_SETTLEMENTCAPACITY_PRICE_[EUR/MW];SI_IMPORT(-)_EXPORT(+)_[MW];DK_DEMAND_[MW];DK_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DK_IMPORT(-)_EXPORT(+)_[MW]
0;2020-06-30 22:00:00+00:00;31.46;68.0;31.46;-35.0;78.0;86.01;-54.0;25.0;26.63;100.0;573.0;31.46;-49.0;516.0;31.46;99.0;113.0;31.46;-61.0;0.0;0.0;0.0;0.0;0.0;0.0
1;2020-07-01 02:00:00+00:00;23.51;68.0;23.51;-45.0;78.0;25.14;-54.0;25.0;23.51;99.0;573.0;23.51;-22.0;516.0;23.51;83.0;113.0;35.75;-61.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2020-07-01 06:00:00+00:00;21.07;68.0;21.07;-25.0;78.0;30.14;-54.0;25.0;21.07;96.0;573.0;21.07;1.0;516.0;21.07;53.0;113.0;48.84;-71.0;0.0;0.0;0.0;0.0;0.0;0.0
3;2020-07-01 10:00:00+00:00;16.67;68.0;16.67;-34.0;78.0;29.19;-54.0;25.0;12.42;99.0;573.0;16.67;9.0;516.0;16.67;57.0;113.0;26.0;-77.0;0.0;0.0;0.0;0.0;0.0;0.0
4;2020-07-01 14:00:00+00:00;28.56;68.0;28.56;-17.0;78.0;54.51;-54.0;25.0;18.9;99.0;573.0;28.56;-19.0;516.0;28.56;61.0;113.0;48.33;-70.0;0.0;0.0;0.0;0.0;0.0;0.0
5;2020-07-01 18:00:00+00:00;19.15;68.0;19.15;-26.0;78.0;72.34;-54.0;25.0;15.0;100.0;573.0;19.15;-33.0;516.0;19.15;77.0;113.0;56.47;-64.0;0.0;0.0;0.0;0.0;0.0;0.0
6;2020-07-01 22:00:00+00:00;18.0;68.0;18.0;5.0;78.0;26.63;-54.0;65.0;18.0;64.0;573.0;18.0;-63.0;516.0;18.0;120.0;113.0;18.0;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
7;2020-07-02 02:00:00+00:00;20.0;68.0;20.0;15.0;78.0;51.06;-54.0;65.0;20.0;66.0;573.0;20.0;-57.0;516.0;20.0;102.0;113.0;20.0;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
8;2020-07-02 06:00:00+00:00;16.6;68.0;16.6;-1.0;78.0;103.49;-54.0;65.0;16.6;71.0;573.0;16.6;-91.0;516.0;16.6;147.0;113.0;16.6;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
9;2020-07-02 10:00:00+00:00;12.5;68.0;12.5;9.0;78.0;31.21;-54.0;65.0;12.5;88.0;573.0;12.5;-95.0;516.0;12.5;125.0;113.0;12.5;-73.0;0.0;0.0;0.0;0.0;0.0;0.0
